"global_var_name","file","start_line","end_line"
"ZRANGE_limit_Subargs","/home/runner/work/redis/redis/src/commands.def",9311,9311
"ZRANGE_sortby_Subargs","/home/runner/work/redis/redis/src/commands.def",9305,9305
"ZRANDMEMBER_Args","/home/runner/work/redis/redis/src/commands.def",9278,9278
"ZRANDMEMBER_options_Subargs","/home/runner/work/redis/redis/src/commands.def",9272,9272
"ZPOPMIN_Args","/home/runner/work/redis/redis/src/commands.def",9245,9245
"ZPOPMAX_Args","/home/runner/work/redis/redis/src/commands.def",9220,9220
"ZMSCORE_Args","/home/runner/work/redis/redis/src/commands.def",9195,9195
"ZMPOP_Args","/home/runner/work/redis/redis/src/commands.def",9168,9168
"ZMPOP_where_Subargs","/home/runner/work/redis/redis/src/commands.def",9162,9162
"ZLEXCOUNT_Args","/home/runner/work/redis/redis/src/commands.def",9136,9136
"ZINTERSTORE_Args","/home/runner/work/redis/redis/src/commands.def",9108,9108
"ZINTERSTORE_aggregate_Subargs","/home/runner/work/redis/redis/src/commands.def",9101,9101
"ZINTERCARD_Args","/home/runner/work/redis/redis/src/commands.def",9075,9075
"ZINTER_Args","/home/runner/work/redis/redis/src/commands.def",9047,9047
"ZINTER_aggregate_Subargs","/home/runner/work/redis/redis/src/commands.def",9040,9040
"ZINCRBY_Args","/home/runner/work/redis/redis/src/commands.def",9014,9014
"ZDIFFSTORE_Args","/home/runner/work/redis/redis/src/commands.def",8988,8988
"ZDIFF_Args","/home/runner/work/redis/redis/src/commands.def",8962,8962
"ZCOUNT_Args","/home/runner/work/redis/redis/src/commands.def",8936,8936
"ZCARD_Args","/home/runner/work/redis/redis/src/commands.def",8912,8912
"ZADD_Args","/home/runner/work/redis/redis/src/commands.def",8883,8883
"ZADD_data_Subargs","/home/runner/work/redis/redis/src/commands.def",8877,8877
"ZADD_comparison_Subargs","/home/runner/work/redis/redis/src/commands.def",8871,8871
"ZADD_condition_Subargs","/home/runner/work/redis/redis/src/commands.def",8865,8865
"BZPOPMIN_Args","/home/runner/work/redis/redis/src/commands.def",8836,8836
